顧客名,都道府県,市区町村,年齢
須賀ひとみ,東京,H市,20.0
岡田　 敏也,神奈川,E市,23.0
芳賀 希,東京,A市,44.0
荻野  愛,神奈川,F市,21.0
栗田 憲一,神奈川,E市,49.0
梅沢 麻緒,東京,A市,18.0
相原 ひとり,東京,H市,52.0
新村 丈史,埼玉,B市,29.0
石川  まさみ,埼玉,G市,33.0
小栗 正義,埼玉,G市,87.0
大倉 晃司,神奈川,E市,28.0
那須 蒼甫,東京,A市,76.0
清水 裕次郎,東京,C市,27.0
榊原 しぼり,神奈川,D市,48.0
高沢   美咲,神奈川,E市,72.0
川島 友以乃,埼玉,G市,52.0
唐沢 景子,神奈川,D市,21.0
稲田 将也,埼玉,G市,45.0
秋葉 あき,東京,H市,85.0
西脇 礼子,東京,H市,52.0
内村 まさみ,東京,A市,43.0
進藤 瞬,東京,A市,32.0
小口 豊,東京,H市,52.0
笹原 しぼり,神奈川,E市,25.0
岩佐 孝太郎,埼玉,B市,24.0
河村 由樹,埼玉,C市,33.0
菅原 誠治,東京,C市,34.0
榎本 薫,埼玉,C市,44.0
高梨 結衣,埼玉,C市,34.0
